QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
010be7f5-8ec1-4d65-9626-d2912918abbf,0.32136,0.11111,0.13333333333333333,0.44786
027ac86e-aa7e-4565-8750-2fe4ba83e370,0.99483,0.98284,0.07142857142857142,0.36114
0322a129-a377-49b6-8cff-4009ee7a110e,0.41218,0.0131,0.2631578947368421,0.55408
0331cf30-555d-4bc3-8da1-25f29ddf2a6b,0.479,0.47144,0.05263157894736842,0.3534
04203236-609a-4b0d-801b-076cb1148734,0.50348,0.3149,0.0625,0.41703
0523dcb8-e703-48d1-84c2-98d315e4c0dc,0.00592,0.02535,0.06666666666666667,0.34908
058612c4-4b09-4bba-9e01-c36610d827c4,0.50669,0.02347,0.15789473684210525,0.54704
05af36dc-d73e-42ac-8c51-44dce8bdd8e0,0.10608,0.00652,0.08695652173913043,0.39551
063e5bb5-e06d-4177-99dd-292bab5f881c,0.07795,0.9942,0.0,0.02792
066e11d7-2420-451e-bea9-b88b4ae6d790,0.02327,0.99741,0.0,0.00862
06bb0644-8f6c-43fb-bdb1-a77bde63af11,0.66439,0.70016,0.0,0.32141
07d4272f-7173-4cf9-b6f7-cae1b4c482df,0.17597,0.07612,0.03125,0.37703
09a9de56-f712-4478-87c9-3110a569d028,0.9648,0.72621,0.08333333333333333,0.44064
0ad4aef8-f4bc-4082-a28d-104c04e267f1,0.2075,0.10058,0.0,0.36897
0b1304c0-ead3-4808-9587-6fe3d21683cc,0.01569,0.02347,0.06976744186046512,0.354
0b30bdca-ee77-47dd-88ba-fc77466eb783,0.06095,0.99414,0.0,0.02227
0b3d0375-cac4-40e4-a734-0993b3ffb6cd,0.01255,0.99757,0.0,0.00499
0cdc1757-a9c9-434c-b1ca-17b15e736354,0.96617,0.51841,0.15384615384615385,0.53387
0ea7fcf5-cce4-427b-805f-137f441b045d,0.00555,0.05373,0.05263157894736842,0.33482
0fe80232-f866-467b-83f5-ec47f3f33a3b,0.82992,0.61162,0.3333333333333333,0.51721
